Name,Date
Erev Pesach,2020-04-08
Pesach I,2020-04-09
Pesach II,2020-04-10
Pesach VII,2021-04-03
Pesach VIII,2021-04-04
Erev Shavuot,2019-06-08
Shavuot I,2019-06-09
Shavuot II,2019-06-10
Erev Rosh Hashana,2019-09-29
Rosh Hashana 5780,2019-09-30
Rosh Hashana II,2019-10-01
Erev Yom Kippur,2019-10-08
Yom Kippur,2019-10-09
Erev Sukkot,2019-10-13
Sukkot I,2019-10-14
Sukkot II,2019-10-15
Sukkot VII (Hoshana Raba),2019-10-20
Simchat Torah,2019-10-22
Erev Pesach,2023-04-05
Pesach I,2023-04-06
Pesach II,2023-04-07
Pesach VII,2023-04-12
Erev Pesach,2025-04-12
Erev Shavuot,2020-05-28
Shavuot I,2020-05-29
Shavuot II,2020-05-30
Erev Rosh Hashana,2020-09-18
Rosh Hashana 5781,2020-09-19
Rosh Hashana II,2020-09-20
Erev Yom Kippur,2020-09-27
Yom Kippur,2020-09-28
Erev Sukkot,2020-10-02
Sukkot I,2020-10-03
Sukkot II,2020-10-04
Sukkot VII (Hoshana Raba),2020-10-09
Simchat Torah,2020-10-11
Erev Pesach,2026-04-01
Pesach I,2026-04-02
Pesach II,2026-04-03
Pesach VII,2026-04-08
Pesach VIII,2026-04-09
Erev Shavuot,2021-05-16
Shavuot I,2021-05-17
Shavuot II,2021-05-18
Erev Rosh Hashana,2021-09-06
Rosh Hashana 5782,2021-09-07
Rosh Hashana II,2021-09-08
Erev Yom Kippur,2021-09-15
Yom Kippur,2021-09-16
Erev Sukkot,2021-09-20
Sukkot I,2021-09-21
Sukkot II,2021-09-22
Sukkot VII (Hoshana Raba),2021-09-27
Simchat Torah,2021-09-29
Erev Pesach,2028-04-10
Pesach I,2028-04-11
Pesach II,2028-04-12
Erev Pesach,2021-03-27
Pesach I,2021-03-28
Pesach II,2021-03-29
Erev Shavuot,2022-06-04
Shavuot I,2022-06-05
Shavuot II,2022-06-06
Erev Rosh Hashana,2022-09-25
Rosh Hashana 5783,2022-09-26
Rosh Hashana II,2022-09-27
Erev Yom Kippur,2022-10-04
Yom Kippur,2022-10-05
Erev Sukkot,2022-10-09
Sukkot I,2022-10-10
Sukkot II,2022-10-11
Sukkot VII (Hoshana Raba),2022-10-16
Simchat Torah,2022-10-18
Pesach VIII,2023-04-13
Pesach I,2025-04-13
Pesach II,2025-04-14
Pesach VII,2020-04-15
Erev Pesach,2022-04-15
Erev Shavuot,2023-05-25
Shavuot I,2023-05-26
Shavuot II,2023-05-27
Erev Rosh Hashana,2023-09-15
Rosh Hashana 5784,2023-09-16
Rosh Hashana II,2023-09-17
Erev Yom Kippur,2023-09-24
Yom Kippur,2023-09-25
Erev Sukkot,2023-09-29
Sukkot I,2023-09-30
Sukkot II,2023-10-01
Sukkot VII (Hoshana Raba),2023-10-06
Simchat Torah,2023-10-08
Pesach VIII,2020-04-16
Pesach I,2022-04-16
Pesach II,2022-04-17
Pesach VII,2028-04-17
Erev Shavuot,2024-06-11
Shavuot I,2024-06-12
Shavuot II,2024-6-13
Erev Rosh Hashana,2024-10-02
Rosh Hashana 5785,2024-10-03
Rosh Hashana II,2024-10-04
Erev Yom Kippur,2024-10-11
Yom Kippur,2024-10-12
Erev Sukkot,2024-10-16
Sukkot I,2024-10-17
Sukkot II,2024-10-18
Sukkot VII (Hoshana Raba),2024-10-23
Simchat Torah,2024-10-25
Pesach VIII,2028-04-18
Erev Pesach,2019-04-19
Pesach VII,2025-04-19
Pesach I,2019-04-20
Pesach VIII,2025-04-20
Pesach II,2019-04-21
Erev Shavuot,2025-06-01
Shavuot I,2025-06-02
Shavuot II,2025-06-03
Erev Rosh Hashana,2025-09-22
Rosh Hashana 5786,2025-09-23
Rosh Hashana II,2025-09-24
Erev Yom Kippur,2025-10-01
Yom Kippur,2025-10-02
Erev Sukkot,2025-10-06
Sukkot I,2025-10-07
Sukkot II,2025-10-08
Sukkot VII (Hoshana Raba),2025-10-13
Simchat Torah,2025-10-15
Erev Pesach,2027-04-21
Pesach VII,2022-04-22
Erev Pesach,2024-04-22
Pesach I,2027-04-22
Pesach VIII,2022-04-23
Pesach I,2024-04-23
Erev Shavuot,2026-05-21
Shavuot I,2026-05-22
Shavuot II,2026-05-23
Erev Rosh Hashana,2026-09-11
Rosh Hashana 5787,2026-09-12
Rosh Hashana II,2026-09-13
Erev Yom Kippur,2026-09-20
Yom Kippur,2026-09-21
Erev Sukkot,2026-09-25
Sukkot I,2026-09-26
Sukkot II,2026-09-27
Sukkot VII (Hoshana Raba),2026-10-02
Simchat Torah,2026-10-04
Pesach II,2027-04-23
Pesach II,2024-04-24
Pesach VII,2019-04-26
Erev Shavuot,2027-06-10
Shavuot I,2027-06-11
Shavuot II,2027-06-12
Erev Rosh Hashana,2027-10-01
Rosh Hashana 5788,2027-10-02
Rosh Hashana II,2027-10-03
Erev Yom Kippur,2027-10-10
Yom Kippur,2027-10-11
Erev Sukkot,2027-10-15
Sukkot I,2027-10-16
Sukkot II,2027-10-17
Sukkot VII (Hoshana Raba),2027-10-22
Simchat Torah,2027-10-24
Pesach VIII,2019-04-27
Pesach VII,2027-04-28
Pesach VII,2024-04-29
Pesach VIII,2027-04-29
Pesach VIII,2024-04-30
Erev Shavuot,2028-05-30
Shavuot I,2028-05-31
Shavuot II,2028-06-01
Erev Rosh Hashana,2028-09-20
Rosh Hashana 5789,2028-09-21
Rosh Hashana II,2028-09-22
Erev Yom Kippur,2028-09-29
Yom Kippur,2028-09-30
Erev Sukkot,2028-10-04
Sukkot I,2028-10-05
Sukkot II,2028-10-06
Sukkot VII (Hoshana Raba),2028-10-11
Simchat Torah,2028-10-13
Yom HaAtzma'ut,2019-05-09
Yom HaAtzma'ut,2020-04-29
Yom HaAtzma'ut,2021-04-15
Yom HaAtzma'ut,2022-05-05
Yom HaAtzma'ut,2023-04-26
Yom HaAtzma'ut,2024-05-14
Yom HaAtzma'ut,2025-05-01
Yom HaAtzma'ut,2026-04-22
Yom HaAtzma'ut,2027-05-12
Yom HaAtzma'ut,2028-05-02
